Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
Stranger,8,4,44,2,b,4.309664065,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,9,0,45,4,v,2.999132636,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,9,1,46,4,v,1.802586775,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,9,2,47,2,b,1.902087715,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,9,3,48,0,c,2.109670856,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,9,4,49,3,n,2.325092254,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,0,0,0,1,m,18.61642876,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,0,1,1,1,m,6.122148347,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,0,2,2,1,m,5.009079887,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,0,3,3,0,n,8.964742844,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,0,4,4,2,c,4.169789428,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,1,0,5,0,n,4.558640658,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,1,1,6,3,b,6.326319671,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,1,2,7,4,v,4.453299913,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,1,3,8,2,c,4.878631373,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,1,4,9,4,v,7.973957751,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,2,0,10,3,b,4.89910346,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,2,1,11,2,c,3.866594077,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,2,2,12,0,n,5.41957772,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,2,3,13,3,b,4.446546946,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,2,4,14,1,m,2.008077898,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,3,0,15,1,m,1.747501837,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,3,1,16,3,b,4.010884494,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,3,2,17,0,n,4.358449262,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,3,3,18,0,n,2.596037997,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,3,4,19,3,b,2.311947953,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,4,0,20,1,m,2.549767643,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,4,1,21,2,c,2.331246316,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,4,2,22,0,n,2.025394785,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,4,3,23,4,v,6.180308737,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,4,4,24,2,c,4.36062695,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,5,0,25,3,b,5.270216952,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,5,1,26,1,m,2.303106522,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,5,2,27,0,n,2.030591865,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,5,3,28,3,b,3.096722768,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,5,4,29,3,b,3.450146686,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,6,0,30,4,v,5.13168817,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,6,1,31,0,n,2.361970042,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,6,2,32,1,m,2.807197189,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,6,3,33,4,v,3.13695197,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,6,4,34,4,v,1.61521871,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,7,0,35,2,c,2.618051758,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,7,1,36,4,v,2.828903406,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,7,2,37,1,m,3.335122412,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,7,3,38,0,n,1.901333262,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,7,4,39,2,c,3.37272307,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,8,0,40,0,n,2.801715857,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,8,1,41,1,m,1.64515561,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,8,2,42,4,v,3.063258376,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,8,3,43,2,c,2.616043042,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,8,4,44,2,c,1.852775862,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Stranger,9,0,45,2,c,1.43820651,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,9,1,46,3,b,3.168297893,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
We,9,2,47,3,b,1.469092102,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,9,3,48,4,v,4.60601999,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
Other,9,4,49,4,v,1.231571667,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P1,0,0,0,0,v,18.25443316,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,0,1,1,2,m,3.777073901,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,0,2,2,2,m,2.053227139,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,0,3,3,0,v,1.262729396,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,0,4,4,1,n,3.831250128,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,1,0,5,3,c,3.753765166,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,1,1,6,2,m,2.09726225,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,1,2,7,3,c,11.41696224,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,1,3,8,3,c,1.482334869,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,1,4,9,1,n,3.145857646,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,2,0,10,4,b,2.823495947,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,2,1,11,2,m,1.858262441,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,2,2,12,1,n,1.203793907,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,2,3,13,4,b,1.311384406,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,2,4,14,0,v,1.205943569,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,3,0,15,2,m,1.473415251,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,3,1,16,0,v,0.930223028,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,3,2,17,4,b,1.56032359,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,3,3,18,0,v,0.949888194,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,3,4,19,2,m,1.307257607,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,4,0,20,2,m,1.186667277,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,4,1,21,4,b,1.391019031,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,4,2,22,1,n,1.266862117,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,4,3,23,0,v,0.971698285,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,4,4,24,1,n,1.584398624,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,5,0,25,3,c,4.236691834,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,5,1,26,1,n,2.320765935,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,5,2,27,2,m,1.599739593,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,5,3,28,1,n,1.13127429,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,5,4,29,3,c,0.889176125,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,6,0,30,4,c,0.945236317,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,0,14,27,26
P1,6,1,31,0,v,2.246007037,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,6,2,32,3,c,1.175290846,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,6,3,33,1,n,2.787886564,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,6,4,34,3,c,1.358771728,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,7,0,35,3,c,1.108106102,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,7,1,36,3,c,0.739501989,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,7,2,37,0,v,0.657729941,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Stranger,7,3,38,2,m,1.378937494,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,7,4,39,4,c,1.031105554,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,0,14,27,26
Stranger,8,0,40,2,m,6.56921044,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,8,1,41,0,v,1.134337114,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,8,2,42,1,n,1.308410016,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P2,8,3,43,1,n,1.571845701,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,8,4,44,4,b,1.161250728,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
P1,9,0,45,0,v,1.16548886,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,9,1,46,4,b,2.154152697,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,9,2,47,4,b,0.863849589,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
We,9,3,48,3,c,0.776444992,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,1,14,27,26
Other,9,4,49,4,c,0.725159063,v,n,m,c,b,DIAMOND,TRIANGLE,PENTAGON,CIRCLE,0,14,27,26
Other,0,0,0,4,m,12.05222515,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,0,1,1,2,v,10.76646495,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,0,2,2,0,c,4.074144596,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,0,3,3,4,m,3.267093072,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,0,4,4,0,c,2.156074563,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,1,0,5,3,b,3.601365361,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,1,1,6,3,b,1.293124318,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,1,2,7,2,v,2.501201758,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,1,3,8,4,m,1.724742949,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,1,4,9,3,b,1.955575225,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,2,0,10,0,c,2.145103586,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,2,1,11,0,c,1.289123064,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,2,2,12,2,v,4.097263434,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,2,3,13,2,v,1.080844673,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,2,4,14,4,m,1.513008122,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,3,0,15,0,c,1.528423313,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,3,1,16,3,b,1.958980338,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,3,2,17,0,c,1.586813589,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,3,3,18,3,b,1.47098173,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,3,4,19,4,m,1.199716458,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,4,0,20,4,m,1.099167929,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,4,1,21,1,n,4.122727359,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,4,2,22,1,n,0.769561729,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,4,3,23,3,b,1.806384714,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,4,4,24,4,m,1.505847318,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,5,0,25,0,c,1.105297131,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,5,1,26,4,m,1.440682744,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,5,2,27,2,v,1.330797693,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,5,3,28,2,v,1.737041623,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,5,4,29,3,b,0.895201101,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,6,0,30,4,m,1.079212588,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,6,1,31,1,n,0.951262477,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,6,2,32,3,b,1.404841616,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,6,3,33,2,v,0.91195307,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,6,4,34,1,n,1.030902629,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,7,0,35,0,c,1.033058608,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,7,1,36,0,c,0.749009853,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,7,2,37,2,c,0.762428957,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,0,15,22,24
P2,7,3,38,1,n,4.936022181,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,7,4,39,1,n,0.878167248,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,8,0,40,1,n,0.7589741,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,8,1,41,1,n,0.836383656,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,8,2,42,3,b,1.182185952,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,8,3,43,2,v,1.914373167,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,8,4,44,1,n,2.023525478,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,9,0,45,4,m,1.410312694,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P1,9,1,46,0,c,1.733747448,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
We,9,2,47,3,b,1.179898506,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
P2,9,3,48,1,n,1.224014156,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Stranger,9,4,49,2,v,1.570797914,c,n,v,b,m,TRIANGLE,STAR,CIRCLE,PENTAGON,1,15,22,24
Other,0,0,0,4,m,6.462139887,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P1,0,1,1,0,c,7.687190776,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,0,2,2,2,v,12.68779126,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,0,3,3,2,v,5.712539026,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,0,4,4,2,v,6.697529685,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P1,1,0,5,0,c,3.737293502,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Other,1,1,6,4,m,7.599383882,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,1,2,7,2,v,3.16114058,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,1,3,8,3,n,4.375017568,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,1,4,9,2,v,4.723965991,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,2,0,10,2,v,2.914952727,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P1,2,1,11,0,c,4.601951633,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,2,2,12,1,b,6.285563587,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P1,2,3,13,0,c,3.03786485,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,2,4,14,3,n,2.929951014,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,3,0,15,1,m,3.016845535,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,0,16,25,22
Other,3,1,16,4,m,9.275874512,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,3,2,17,1,b,4.755248413,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,3,3,18,3,n,3.040800946,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,3,4,19,2,v,3.395024627,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P1,4,0,20,0,c,3.095259452,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Other,4,1,21,4,m,4.662798327,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,4,2,22,3,n,3.047741058,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Other,4,3,23,4,m,4.041312601,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,4,4,24,1,b,4.19566546,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,5,0,25,1,b,3.833096193,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P1,5,1,26,0,c,2.171349996,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Other,5,2,27,4,m,4.336185469,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,5,3,28,2,v,3.918218477,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,5,4,29,1,b,2.811496923,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,6,0,30,2,v,3.719087896,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,6,1,31,1,b,2.333881047,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,6,2,32,1,b,1.436063635,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,6,3,33,3,n,2.654192177,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P1,6,4,34,0,c,3.583750764,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Other,7,0,35,4,m,3.675904753,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,7,1,36,3,n,2.820915168,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Other,7,2,37,4,m,4.303854074,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Other,7,3,38,4,m,1.455387697,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
Stranger,7,4,39,2,v,3.970731035,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,8,0,40,3,n,2.04768855,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,8,1,41,3,n,0.985155289,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
P2,8,2,42,1,b,4.637337561,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
We,8,3,43,3,n,3.471335073,c,b,v,n,m,STAR,CIRCLE,DIAMOND,TRIANGLE,1,16,25,22
