Shape,Colour,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,4. Handedness,3. Age,2. Gender (M/F),6. Stimuli Type(Self = Positive/Self = Negative),1. Participant Number,5. First Lanugage
Stranger,Strong,0,0,0,2,o,w,o,LIGHT,DARK,7.562898589,1,R,24,F,Self = Positive,1,Russian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,4.103604503,1,R,24,F,Self = Positive,1,Russian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,2.782846256,1,R,24,F,Self = Positive,1,Russian
Self,Strong,0,3,3,0,w,w,o,LIGHT,DARK,0.746918079,1,R,24,F,Self = Positive,1,Russian
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,0.496159492,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,0.447447254,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,0.784789802,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,1.172603374,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,38.89711204,1,R,25,M,Self = Negative,2,English
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,2.906732654,1,R,25,M,Self = Negative,2,English
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,5.649560718,1,R,25,M,Self = Negative,2,English
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,1.435070221,1,R,25,M,Self = Negative,2,English
Self,Strong,1,0,4,0,w,w,o,DARK,LIGHT,1.580985457,1,R,25,M,Self = Negative,2,English
Self,Light,1,1,5,1,w,w,o,DARK,LIGHT,1.032823555,1,R,25,M,Self = Negative,2,English
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,2.514555479,1,R,25,M,Self = Negative,2,English
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,1.361240317,1,R,25,M,Self = Negative,2,English
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,13.7279003,1,R,22,M,Self = Positive,3,Hungarian
Self,Strong,0,1,1,0,w,w,o,LIGHT,DARK,2.78309971,1,R,22,M,Self = Positive,3,Hungarian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,1.595034816,1,R,22,M,Self = Positive,3,Hungarian
Stranger,Strong,0,3,3,2,o,w,o,LIGHT,DARK,2.39884161,1,R,22,M,Self = Positive,3,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,3.489953012,1,R,22,M,Self = Positive,3,Hungarian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,1.377982928,1,R,22,M,Self = Positive,3,Hungarian
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,2.190385069,1,R,22,M,Self = Positive,3,Hungarian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,4.45801339,1,R,22,M,Self = Positive,3,Hungarian
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,16.41046104,1,L,27,F,Self = Negative,4,Rusiian
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,5.494178045,1,L,27,F,Self = Negative,4,Rusiian
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,2.550180458,1,L,27,F,Self = Negative,4,Rusiian
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,5.643275676,1,L,27,F,Self = Negative,4,Rusiian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,1.989057631,1,L,27,F,Self = Negative,4,Rusiian
Stranger,Light,1,1,5,3,w,w,o,DARK,LIGHT,2.001172129,0,L,27,F,Self = Negative,4,Rusiian
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,5.491750487,1,L,27,F,Self = Negative,4,Rusiian
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,2.6430238,1,L,27,F,Self = Negative,4,Rusiian
Stranger,Strong,0,0,0,2,o,w,o,LIGHT,DARK,8.218654017,1,R,26,M,Self = Positive,5,Portuguese
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,3.733339834,1,R,26,M,Self = Positive,5,Portuguese
Stranger,Strong,0,2,2,2,o,w,o,LIGHT,DARK,1.643344935,1,R,26,M,Self = Positive,5,Portuguese
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,1.7252865,1,R,26,M,Self = Positive,5,Portuguese
Self,Light,1,0,4,1,w,w,o,LIGHT,DARK,1.683834665,1,R,26,M,Self = Positive,5,Portuguese
Self,Strong,1,1,5,0,w,w,o,LIGHT,DARK,0.955762128,1,R,26,M,Self = Positive,5,Portuguese
Stranger,Light,1,2,6,3,o,w,o,LIGHT,DARK,1.368989115,1,R,26,M,Self = Positive,5,Portuguese
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,0.757660123,1,R,26,M,Self = Positive,5,Portuguese
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,11.79294454,1,R,29,F,Self = Negative,6,Turkish
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,3.973193714,1,R,29,F,Self = Negative,6,Turkish
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,3.505698803,1,R,29,F,Self = Negative,6,Turkish
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,3.768769927,1,R,29,F,Self = Negative,6,Turkish
Stranger,Strong,1,0,4,2,o,w,o,DARK,LIGHT,3.41329647,1,R,29,F,Self = Negative,6,Turkish
Self,Light,1,1,5,1,w,w,o,DARK,LIGHT,1.951935027,1,R,29,F,Self = Negative,6,Turkish
Self,Light,1,2,6,1,w,w,o,DARK,LIGHT,2.853049837,1,R,29,F,Self = Negative,6,Turkish
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,2.35022353,1,R,29,F,Self = Negative,6,Turkish
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,13.74125578,1,R,26,M,Self = Positive,7,English
Self,Strong,0,1,1,0,w,w,o,LIGHT,DARK,2.923898968,1,R,26,M,Self = Positive,7,English
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,2.80232279,1,R,26,M,Self = Positive,7,English
Stranger,Light,0,3,3,3,o,w,o,LIGHT,DARK,1.133695067,1,R,26,M,Self = Positive,7,English
Stranger,Light,1,0,4,3,o,w,o,LIGHT,DARK,1.07557596,1,R,26,M,Self = Positive,7,English
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,0.980143214,1,R,26,M,Self = Positive,7,English
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,1.032076346,1,R,26,M,Self = Positive,7,English
Stranger,Strong,1,3,7,2,o,w,o,LIGHT,DARK,1.209966253,1,R,26,M,Self = Positive,7,English
Self,Light,0,0,0,1,w,w,o,DARK,LIGHT,20.8093599,1,R,31,F,Self = Negative,8,Mongolian
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,6.405395898,1,R,31,F,Self = Negative,8,Mongolian
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,6.216461284,1,R,31,F,Self = Negative,8,Mongolian
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,2.739141128,1,R,31,F,Self = Negative,8,Mongolian
Stranger,Strong,1,0,4,2,o,w,o,DARK,LIGHT,5.680697734,1,R,31,F,Self = Negative,8,Mongolian
Self,Light,1,1,5,1,w,w,o,DARK,LIGHT,5.296466085,1,R,31,F,Self = Negative,8,Mongolian
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,2.415761876,1,R,31,F,Self = Negative,8,Mongolian
Stranger,Light,1,3,7,3,o,w,o,DARK,LIGHT,2.170346759,1,R,31,F,Self = Negative,8,Mongolian
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,21.31423554,1,R,23,F,Self = Positive,9,Hungarian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,5.233676458,1,R,23,F,Self = Positive,9,Hungarian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,3.211567084,1,R,23,F,Self = Positive,9,Hungarian
Stranger,Light,0,3,3,3,o,w,o,LIGHT,DARK,3.046746583,1,R,23,F,Self = Positive,9,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,2.671957104,1,R,23,F,Self = Positive,9,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,1.176450199,1,R,23,F,Self = Positive,9,Hungarian
Stranger,Light,1,2,6,3,o,w,o,LIGHT,DARK,0.5892251,1,R,23,F,Self = Positive,9,Hungarian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,0.577112181,1,R,23,F,Self = Positive,9,Hungarian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,15.13366085,1,R,23,F,Self = Negative,10,Hungarian
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,7.427762105,1,R,23,F,Self = Negative,10,Hungarian
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,4.550277578,1,R,23,F,Self = Negative,10,Hungarian
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,3.515482961,1,R,23,F,Self = Negative,10,Hungarian
Self,Strong,1,0,4,0,w,w,o,DARK,LIGHT,3.322002402,1,R,23,F,Self = Negative,10,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,1.43265358,1,R,23,F,Self = Negative,10,Hungarian
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,6.961958612,1,R,23,F,Self = Negative,10,Hungarian
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,4.407224224,1,R,23,F,Self = Negative,10,Hungarian
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,9.839324305,1,R,23,M,Self = Positive,11,Hungarian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,1.945638296,1,R,23,M,Self = Positive,11,Hungarian
Stranger,Light,0,2,2,3,o,w,o,LIGHT,DARK,0.807863313,1,R,23,M,Self = Positive,11,Hungarian
Stranger,Strong,0,3,3,2,o,w,o,LIGHT,DARK,0.818858671,1,R,23,M,Self = Positive,11,Hungarian
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,0.83742496,1,R,23,M,Self = Positive,11,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,0.839353125,1,R,23,M,Self = Positive,11,Hungarian
Stranger,Light,1,2,6,3,o,w,o,LIGHT,DARK,0.753244995,1,R,23,M,Self = Positive,11,Hungarian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,0.510563455,1,R,23,M,Self = Positive,11,Hungarian
Self,Strong,0,0,0,0,w,w,o,DARK,LIGHT,8.617924001,1,R,26,F,Self = Negative,12,Hungarian
Stranger,Light,0,1,1,3,o,w,o,DARK,LIGHT,4.996579968,1,R,26,F,Self = Negative,12,Hungarian
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,4.159782189,1,R,26,F,Self = Negative,12,Hungarian
Stranger,Strong,0,3,3,2,o,w,o,DARK,LIGHT,1.725142784,1,R,26,F,Self = Negative,12,Hungarian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,2.71556014,1,R,26,F,Self = Negative,12,Hungarian
Stranger,Light,1,1,5,3,o,w,o,DARK,LIGHT,3.697960969,1,R,26,F,Self = Negative,12,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,DARK,LIGHT,2.30522535,1,R,26,F,Self = Negative,12,Hungarian
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,1.456521216,1,R,26,F,Self = Negative,12,Hungarian
Stranger,Light,0,0,0,3,o,w,o,LIGHT,DARK,20.47998178,1,R,18,M,Self = Positive,13,Mongolian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,4.8248251,1,R,18,M,Self = Positive,13,Mongolian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,1.87554367,1,R,18,M,Self = Positive,13,Mongolian
Stranger,Strong,0,3,3,2,o,w,o,LIGHT,DARK,1.30813216,1,R,18,M,Self = Positive,13,Mongolian
Stranger,Light,1,0,4,3,o,w,o,LIGHT,DARK,0.987403559,1,R,18,M,Self = Positive,13,Mongolian
Self,Light,1,1,5,1,w,w,o,LIGHT,DARK,0.807348707,1,R,18,M,Self = Positive,13,Mongolian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,0.986617934,1,R,18,M,Self = Positive,13,Mongolian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,0.710534908,1,R,18,M,Self = Positive,13,Mongolian
Self,Strong,0,0,0,0,w,w,o,DARK,LIGHT,22.17954913,1,R,44,F,Self = Negative,14,Armenian
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,8.880146876,1,R,44,F,Self = Negative,14,Armenian
Stranger,Light,0,2,2,3,o,w,o,DARK,LIGHT,3.608297536,1,R,44,F,Self = Negative,14,Armenian
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,1.083748352,1,R,44,F,Self = Negative,14,Armenian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,1.075617337,1,R,44,F,Self = Negative,14,Armenian
Self,Strong,1,1,5,0,w,w,o,DARK,LIGHT,1.364106518,1,R,44,F,Self = Negative,14,Armenian
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,0.824811282,1,R,44,F,Self = Negative,14,Armenian
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,3.427145969,1,R,44,F,Self = Negative,14,Armenian
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,16.41099566,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Strong,0,1,1,2,o,w,o,LIGHT,DARK,3.790319212,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Strong,0,2,2,2,o,w,o,LIGHT,DARK,11.11318637,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Light,0,3,3,3,o,w,o,LIGHT,DARK,2.616298272,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Light,1,0,4,3,o,w,o,LIGHT,DARK,2.514848499,1,R,23,M,Self = Positive,15,Ukrainian
Self,Light,1,1,5,1,w,w,o,LIGHT,DARK,2.161399627,1,R,23,M,Self = Positive,15,Ukrainian
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,6.606084365,1,R,23,M,Self = Positive,15,Ukrainian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,1.081683621,1,R,23,M,Self = Positive,15,Ukrainian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,7.426853688,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,5.109433639,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,4.684515618,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,2.00454011,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Light,1,0,4,3,o,w,o,DARK,LIGHT,4.415476171,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,4.073949715,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,2.066588814,1,Right,23,M,Self = Negative,16,Azerbaijani
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,1.267208401,1,Right,23,M,Self = Negative,16,Azerbaijani
Stranger,Strong,0,0,0,2,o,w,o,LIGHT,DARK,17.75298285,1,right,26,F,Self = Positive,17,hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,5.838623154,1,right,26,F,Self = Positive,17,hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,3.7524941,1,right,26,F,Self = Positive,17,hungarian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,2.75778471,1,right,26,F,Self = Positive,17,hungarian
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,3.23485202,1,right,26,F,Self = Positive,17,hungarian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,2.492746088,1,right,26,F,Self = Positive,17,hungarian
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,2.756552169,1,right,26,F,Self = Positive,17,hungarian
Stranger,Strong,1,3,7,2,o,w,o,LIGHT,DARK,2.729723274,1,right,26,F,Self = Positive,17,hungarian
Self,Light,0,0,0,1,w,w,o,DARK,LIGHT,8.800803244,1,R,29,M,Self = Negative,18,English
Stranger,Light,0,1,1,3,o,w,o,DARK,LIGHT,1.620440051,1,R,29,M,Self = Negative,18,English
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,2.230915942,1,R,29,M,Self = Negative,18,English
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,1.960854773,1,R,29,M,Self = Negative,18,English
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,1.766039816,1,R,29,M,Self = Negative,18,English
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,1.698578511,1,R,29,M,Self = Negative,18,English
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,1.881747492,1,R,29,M,Self = Negative,18,English
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,1.561736423,1,R,29,M,Self = Negative,18,English
Stranger,Light,0,0,0,3,o,w,o,LIGHT,DARK,15.85110293,1,right,28,M,Self = Positive,19,Turkish
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,4.868803835,1,right,28,M,Self = Positive,19,Turkish
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,5.733109012,1,right,28,M,Self = Positive,19,Turkish
