Participant,Association,SelfStrongMatch,SelfWeakMatch,StrangerStrongMatch,StrangerWeakMatch,SelfStrongMismatch,SelfWeakMismatch,StrangerStrongMismatch,StrangerWeakMismatch,,,,,,,StrongMatchPrio,WeakMatchPrio,StrongMismatchPrio,WeakMismatchPrio
1,Light,0.979166667,0.96875,0.741935484,0.842105263,0.70212766,0.71875,0.768421053,0.694736842,,,,,,,0.237231183,0.126644737,-0.066293393,0.024013158
3,Light,0.701149425,0.771084337,0.823529412,0.779069767,0.879120879,0.88172043,0.898876404,0.877777778,,,,,,,-0.122379986,-0.00798543,-0.019755525,0.003942652
5,Light,0.905263158,0.915789474,0.884210526,0.872340426,0.752688172,0.795698925,0.840425532,0.905263158,,,,,,,0.021052632,0.043449048,-0.08773736,-0.109564233
7,Light,0.978494624,0.936170213,0.873684211,0.844444444,0.905263158,0.957446809,0.926315789,0.935483871,,,,,,,0.104810413,0.091725768,-0.021052632,0.021962938
9,Light,0.931818182,0.886363636,0.833333333,0.777777778,0.925531915,0.934065934,0.923913043,0.955555556,,,,,,,0.098484848,0.108585859,0.001618871,-0.021489621
11,Light,0.967741935,0.935483871,0.817204301,0.877777778,0.946236559,0.894736842,0.913978495,0.958333333,,,,,,,0.150537634,0.057706093,0.032258065,-0.063596491
13,Light,0.840425532,0.791666667,0.326086957,0.265957447,0.715789474,0.591397849,0.760416667,0.698924731,,,,,,,0.514338575,0.52570922,-0.044627193,-0.107526882
15,Light,0.978723404,0.978947368,0.861702128,0.831578947,0.946808511,0.934782609,0.947916667,0.946236559,,,,,,,0.117021277,0.147368421,-0.001108156,-0.01145395
17,Light,0.936842105,0.914893617,0.935483871,0.895833333,0.924731183,0.936170213,0.882978723,0.894736842,,,,,,,0.001358234,0.019060284,0.041752459,0.041433371
19,Light,0.978947368,0.958333333,0.85106383,0.829787234,0.85106383,0.904255319,0.967741935,0.873684211,,,,,,,0.127883539,0.128546099,-0.116678106,0.030571109
21,Light,0.621052632,0.666666667,0.595744681,0.537634409,0.580645161,0.521276596,0.691489362,0.585106383,,,,,,,0.025307951,0.129032258,-0.1108442,-0.063829787
23,Light,0.902173913,0.933333333,0.774193548,0.7,0.915789474,0.901098901,0.879120879,0.842105263,,,,,,,0.127980365,0.233333333,0.036668595,0.058993638
29,Light,1,0.96875,0.882978723,0.810526316,0.88172043,0.880434783,0.875,0.905263158,,,,,,,0.117021277,0.158223684,0.00672043,-0.024828375
31,Light,0.979166667,0.9375,0.869565217,0.806451613,0.864583333,0.873684211,0.905263158,0.882978723,,,,,,,0.109601449,0.131048387,-0.040679825,-0.009294513
33,Light,0.916666667,0.9375,0.864583333,0.802083333,0.802083333,0.864583333,0.822916667,0.802083333,,,,,,,0.052083333,0.135416667,-0.020833333,0.0625
35,Light,0.752688172,0.747368421,0.76344086,0.808510638,0.786516854,0.819148936,0.870967742,0.811111111,,,,,,,-0.010752688,-0.061142217,-0.084450888,0.008037825
37,Light,0.875,0.913978495,0.873684211,0.863157895,0.892473118,0.810526316,0.863157895,0.861702128,,,,,,,0.001315789,0.0508206,0.029315224,-0.051175812
39,Light,0.989361702,1,0.967741935,0.936170213,0.934782609,0.968421053,0.958333333,0.968085106,,,,,,,0.021619767,0.063829787,-0.023550725,0.000335946
41,Light,0.989361702,0.968421053,0.916666667,0.821052632,0.904255319,0.957446809,0.935483871,0.926315789,,,,,,,0.072695035,0.147368421,-0.031228552,0.031131019
43,Light,0.96875,0.924731183,0.829787234,0.847826087,0.913978495,0.923913043,0.989247312,0.968085106,,,,,,,0.138962766,0.076905096,-0.075268817,-0.044172063
45,Light,0.842105263,0.852631579,0.793478261,0.680851064,0.747368421,0.822916667,0.645833333,0.765957447,,,,,,,0.048627002,0.171780515,0.101535088,0.05695922
47,Light,0.989473684,0.989473684,0.852631579,0.840425532,0.923913043,0.935483871,0.968421053,0.947368421,,,,,,,0.136842105,0.149048152,-0.044508009,-0.01188455
49,Light,0.913043478,0.912087912,0.915789474,0.870967742,0.989361702,0.947916667,0.946236559,0.902173913,,,,,,,-0.002745995,0.04112017,0.043125143,0.045742754
51,Light,0.989583333,1,0.923913043,0.923913043,0.956521739,0.956521739,0.978947368,0.967741935,,,,,,,0.06567029,0.076086957,-0.022425629,-0.011220196
55,Light,1,1,0.93258427,0.857142857,0.979166667,0.947916667,0.989583333,0.989247312,,,,,,,0.06741573,0.142857143,-0.010416667,-0.041330645
,,0.917079985,0.912396994,0.828200684,0.796935432,0.864900842,0.867212581,0.886039447,0.87464232,,,,,,,,,,
,,0.098864442,0.085238545,0.129770901,0.13781197,0.100317609,0.112415649,0.090166765,0.100443452,,,,,,,,,,
4,Dark,0.854166667,0.840425532,0.606382979,0.621052632,0.659340659,0.725274725,0.78125,0.778947368,,,,,,,0.247783688,0.2193729,-0.121909341,-0.053672643
6,Dark,0.913043478,0.884210526,0.882978723,0.833333333,0.89010989,0.88172043,0.882978723,0.864583333,,,,,,,0.030064755,0.050877193,0.007131167,0.017137097
8,Dark,0.870967742,0.915789474,0.836956522,0.831578947,0.852631579,0.833333333,0.89010989,0.840425532,,,,,,,0.03401122,0.084210526,-0.037478311,-0.007092199
10,Dark,0.926315789,0.936170213,0.904255319,0.947368421,0.904255319,0.849462366,0.893617021,0.787234043,,,,,,,0.02206047,-0.011198208,0.010638298,0.062228323
12,Dark,1,0.894736842,0.897435897,0.903614458,0.948717949,0.974025974,0.957446809,0.891304348,,,,,,,0.102564103,-0.008877616,-0.00872886,0.082721626
16,Dark,0.894736842,0.802083333,0.811111111,0.842105263,0.680851064,0.744680851,0.705263158,0.726315789,,,,,,,0.083625731,-0.04002193,-0.024412094,0.018365062
18,Dark,0.6875,0.691489362,0.677083333,0.70212766,0.684210526,0.694736842,0.663157895,0.625,,,,,,,0.010416667,-0.010638298,0.021052632,0.069736842
20,Dark,1,1,0.945054945,0.947916667,0.989361702,0.968421053,0.989583333,0.978947368,,,,,,,0.054945055,0.052083333,-0.000221631,-0.010526316
22,Dark,0.882978723,0.784946237,0.836956522,0.810526316,0.572916667,0.778947368,0.926315789,0.895833333,,,,,,,0.046022202,-0.025580079,-0.353399123,-0.116885965
24,Dark,0.978723404,0.925531915,0.914893617,0.904255319,0.947368421,0.936842105,0.90625,0.925531915,,,,,,,0.063829787,0.021276596,0.041118421,0.01131019
26,Dark,0.947368421,0.947368421,0.946808511,0.915789474,0.978723404,0.916666667,0.968421053,0.957894737,,,,,,,0.00055991,0.031578947,0.010302352,-0.04122807
28,Dark,0.968085106,0.904255319,0.946808511,0.925531915,0.936842105,0.924731183,0.956521739,0.947368421,,,,,,,0.021276596,-0.021276596,-0.019679634,-0.022637238
32,Dark,0.989247312,0.892473118,0.816091954,0.776470588,0.776595745,0.755555556,0.791208791,0.880434783,,,,,,,0.173155358,0.11600253,-0.014613047,-0.124879227
34,Dark,0.84375,0.787234043,0.860215054,0.894736842,0.833333333,0.861702128,0.787234043,0.84375,,,,,,,-0.016465054,-0.1075028,0.046099291,0.017952128
36,Dark,1,0.958333333,0.88172043,0.858695652,0.935483871,0.904255319,0.968421053,0.926315789,,,,,,,0.11827957,0.099637681,-0.032937182,-0.02206047
38,Dark,0.869565217,0.891304348,0.905263158,0.904255319,0.904255319,0.978494624,0.925531915,0.925531915,,,,,,,-0.035697941,-0.012950971,-0.021276596,0.052962709
40,Dark,0.989583333,0.989583333,0.957894737,0.978723404,0.946808511,0.968421053,0.957446809,0.978494624,,,,,,,0.031688596,0.010859929,-0.010638298,-0.010073571
42,Dark,0.808510638,0.85106383,0.915789474,0.901098901,0.831578947,0.808510638,0.924731183,0.903225806,,,,,,,-0.107278835,-0.050035071,-0.093152235,-0.094715168
44,Dark,0.968085106,0.946236559,0.88172043,0.861702128,0.904255319,0.882978723,0.936170213,0.847826087,,,,,,,0.086364676,0.084534431,-0.031914894,0.035152636
46,Dark,0.852272727,0.706521739,0.621052632,0.472527473,0.528089888,0.505617978,0.712765957,0.725274725,,,,,,,0.231220096,0.233994267,-0.18467607,-0.219656748
48,Dark,0.978947368,0.957446809,0.925531915,0.978947368,0.935483871,0.913978495,0.96875,0.915789474,,,,,,,0.053415454,-0.02150056,-0.033266129,-0.001810979
50,Dark,0.815217391,0.827956989,0.860215054,0.880434783,0.565217391,0.578947368,0.729166667,0.755319149,,,,,,,-0.044997662,-0.052477793,-0.163949275,-0.176371781
52,Dark,0.852272727,0.582417582,0.647727273,0.734042553,0.608695652,0.595505618,0.586956522,0.559139785,,,,,,,0.204545455,-0.151624971,0.02173913,0.036365833
54,Dark,0.989473684,0.957894737,0.957894737,0.90625,0.914893617,0.97826087,0.946808511,0.913978495,,,,,,,0.031578947,0.051644737,-0.031914894,0.064282375
56,Dark,0.894736842,0.875,0.52688172,0.663157895,0.720430108,0.677419355,0.720430108,0.659574468,,,,,,,0.367855122,0.211842105,0,0.017844887
,,0.911021941,0.870018944,0.838588982,0.839849732,0.818018034,0.825539625,0.859061487,0.842161651,,,,,,,,,,
,,0.078638366,0.100352735,0.123084632,0.120790648,0.145888757,0.135648852,0.116025374,0.113024204,,,,,,,,,,
